alpha: 0.0, QB: 0.01565807042074035
alpha: 0.03173325912716963, QB: 0.015664493921665305
alpha: 0.06346651825433926, QB: 0.015694683512851387
alpha: 0.0951997773815089, QB: 0.015748792238454892
alpha: 0.12693303650867852, QB: 0.01582709484563408
alpha: 0.15866629563584814, QB: 0.015929989931691507
alpha: 0.1903995547630178, QB: 0.01605800304579262
alpha: 0.2221328138901874, QB: 0.016211790753272264
alpha: 0.25386607301735703, QB: 0.016392145670202165
alpha: 0.28559933214452665, QB: 0.01660000247295137
alpha: 0.3173325912716963, QB: 0.016836444881026157
alpha: 0.3490658503988659, QB: 0.017102713600215178
alpha: 0.3807991095260356, QB: 0.017400215195305848
alpha: 0.4125323686532052, QB: 0.017730531835232478
alpha: 0.4442656277803748, QB: 0.018095431815819022
alpha: 0.47599888690754444, QB: 0.018496880712416706
alpha: 0.5077321460347141, QB: 0.01893705294245384
alpha: 0.5394654051618837, QB: 0.01941834341998105
alpha: 0.5711986642890533, QB: 0.01994337885360954
alpha: 0.6029319234162229, QB: 0.02051502806624725
alpha: 0.6346651825433925, QB: 0.02113641048828168
alpha: 0.6663984416705622, QB: 0.021810901681583044
alpha: 0.6981317007977318, QB: 0.022542134373018177
alpha: 0.7298649599249014, QB: 0.023333992994287834
alpha: 0.7615982190520711, QB: 0.024190599118753164
alpha: 0.7933314781792408, QB: 0.02511628443475861
alpha: 0.8250647373064104, QB: 0.026115546979801035
alpha: 0.85679799643358, QB: 0.027192985271502667
alpha: 0.8885312555607496, QB: 0.028353203715387233
alpha: 0.9202645146879193, QB: 0.029600681284172
alpha: 0.9519977738150889, QB: 0.03093959403639685
alpha: 0.9837310329422585, QB: 0.032373580742476905
alpha: 1.0154642920694281, QB: 0.0339054399991395
alpha: 1.0471975511965979, QB: 0.03553674718919898
alpha: 1.0789308103237674, QB: 0.037267381144244244
alpha: 1.110664069450937, QB: 0.03909495430230503
alpha: 1.1423973285781066, QB: 0.041014147670268765
alpha: 1.1741305877052763, QB: 0.04301596429823963
alpha: 1.2058638468324459, QB: 0.0450869334401587
alpha: 1.2375971059596156, QB: 0.047208322714252245
alpha: 1.269330365086785, QB: 0.04935544662764999
alpha: 1.3010636242139548, QB: 0.051497193649221826
alpha: 1.3327968833411243, QB: 0.053595924036375364
alpha: 1.364530142468294, QB: 0.05560790633023575
alpha: 1.3962634015954636, QB: 0.057484448208312076
alpha: 1.4279966607226333, QB: 0.05917382362355787
alpha: 1.4597299198498028, QB: 0.060623995090153475
alpha: 1.4914631789769726, QB: 0.061785983040274724
alpha: 1.5231964381041423, QB: 0.06261756782258153
alpha: 1.5549296972313118, QB: 0.06308686706574745
alpha: 1.5866629563584815, QB: 0.06317526264945895
alpha: 1.618396215485651, QB: 0.06287919669952047
alpha: 1.6501294746128208, QB: 0.06221052194388205
alpha: 1.6818627337399903, QB: 0.061195343408040566
alpha: 1.71359599286716, QB: 0.05987155779054368
alpha: 1.7453292519943295, QB: 0.058285508870924124
alpha: 1.7770625111214993, QB: 0.056488279473030666
alpha: 1.8087957702486688, QB: 0.05453212079210018
alpha: 1.8405290293758385, QB: 0.052467405011287965
alpha: 1.872262288503008, QB: 0.05034032538231129
alpha: 1.9039955476301778, QB: 0.048191407838230636
alpha: 1.9357288067573473, QB: 0.04605477328646974
alpha: 1.967462065884517, QB: 0.04395801370148893
alpha: 1.9991953250116865, QB: 0.041922515365536935
alpha: 2.0309285841388562, QB: 0.03996406729913836
alpha: 2.0626618432660258, QB: 0.03809361791599412
alpha: 2.0943951023931957, QB: 0.03631807606730896
alpha: 2.126128361520365, QB: 0.03464108553616538
alpha: 2.1578616206475347, QB: 0.033063730104866004
alpha: 2.1895948797747042, QB: 0.031585147831038385
alpha: 2.221328138901874, QB: 0.030203048222125918
alpha: 2.2530613980290437, QB: 0.02891413559068305
alpha: 2.284794657156213, QB: 0.02771444729509274
alpha: 2.3165279162833827, QB: 0.026599618058907128
alpha: 2.3482611754105527, QB: 0.02556508214043357
alpha: 2.379994434537722, QB: 0.024606224565273154
alpha: 2.4117276936648917, QB: 0.023718491479884782
alpha: 2.443460952792061, QB: 0.022897468288409932
alpha: 2.475194211919231, QB: 0.022138932815749635
alpha: 2.5069274710464007, QB: 0.02143888941753924
alpha: 2.53866073017357, QB: 0.02079358878997685
alpha: 2.57039398930074, QB: 0.020199537238471538
alpha: 2.6021272484279097, QB: 0.01965349833966778
alpha: 2.633860507555079, QB: 0.0191524892612214
alpha: 2.6655937666822487, QB: 0.018693773467584746
alpha: 2.6973270258094186, QB: 0.018274851116506983
alpha: 2.729060284936588, QB: 0.017893448120202573
alpha: 2.7607935440637577, QB: 0.017547504589278996
alpha: 2.792526803190927, QB: 0.017235163181521747
alpha: 2.824260062318097, QB: 0.016954757728747192
alpha: 2.8559933214452666, QB: 0.01670480240302723
alpha: 2.887726580572436, QB: 0.016483981600425576
alpha: 2.9194598396996057, QB: 0.016291140659157457
alpha: 2.9511930988267756, QB: 0.016125277485012614
alpha: 2.982926357953945, QB: 0.015985535125666295
alpha: 3.0146596170811146, QB: 0.015871195314053448
alpha: 3.0463928762082846, QB: 0.015781672987027942
alpha: 3.078126135335454, QB: 0.015716511776980534
alpha: 3.1098593944626236, QB: 0.015675380469757586
alpha: 3.141592653589793, QB: 0.015658070420740654
